# Jingwei AI Keyboard merged lexicon
# Format: pinyin<TAB>candidate1|candidate2...<TAB>weight1|weight2...
# Base chat phrases + Rime pinyin-simp, frequency preserved
# Upstream: https://github.com/rime/rime-pinyin-simp
cang	仓|伧|倉|凔|嵢|欌|沧|滄|獊|臧|舱|艙|苍|蒼|藏|鑶	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
cao	嘈|嶆|操|曹|曺|槽|漕|糙|肏|艚|艸|艹|草|螬|襙|騲	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
ce	侧|側|冊|册|厕|廁|恻|惻|憡|测|測|策|萴|蓛	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
cen	参|岑|嵾|梣|涔	500000|500000|500000|500000|500000
ceng	噌|层|層|嶒|曾|蹭|驓	500000|500000|500000|500000|500000|500000|500000
cha	叉|姹|察|岔|差|插|搽|杈|查|槎|檫|汊|碴|茬|茶|诧|镲|嚓|刹|衩|楂|偛|侘|锸	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|28|25|21|16|13|11|6|5
chai	侪|儕|喍|囆|差|拆|柴|犲|瘥|祡|虿|蠆|袃|豺|釵|钗	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
chan	产|婵|忏|掺|搀|澶|煘|禅|缠|蝉|蟾|谗|铲|阐|颤|馋|觇|谄|潺|蒇|躔|禪|鑱|单	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|26|24|22|22|19|17|14|13
chang	倡|偿|厂|唱|场|娼|尝|常|怅|敞|昌|昶|畅|肠|長|长|嫦|場|苌|嘗|猖|徜|廠|阊	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|46|30|29|19|18|16|15|15
chao	剿|吵|嘲|巢|抄|晁|朝|潮|炒|焯|牊|绰|耖|超|鈔|钞|怊|弨|巐|巣|漅|眧|窲|罺	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|3|2|1|1|1|1|1|1
che	偖|坼|尺|彻|徹|扯|掣|撤|撦|澈|烢|砗|硨|車|车|迠|硩|莗	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1
chen	嗔|宸|尘|抻|晨|沉|琛|称|臣|衬|谌|趁|辰|郴|陈|陳|忱|谶|瞋|碜|塵|伧|榇|龀	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|66|41|25|14|13|5|5|5
cheng	丞|乘|呈|城|惩|成|承|撑|橙|澄|盛|秤|称|程|诚|逞|骋|稱|铖|塍|棖|埕|悜|誠	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|56|46|42|27|27|20|20|18
chi	叺|吃|尺|弛|彳|持|斥|池|炽|痴|翅|耻|赤|迟|驰|齿|敕|叱|嗤|螭|匙|侈|豉|哧	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|83|78|51|43|37|31|31|29
chong	充|冲|宠|寵|崇|忡|憧|沖|翀|舂|虫|蟲|衝|蹖|重|铳|种|艟|茺|銃|憃|浺|珫|罿	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|7|5|4|2|1|1|1|1
chou	丑|仇|俦|惆|愁|抽|畴|瞅|稠|筹|绸|臭|踌|酬|醜|雠|瘳|籌|栦|疇|讎|吜|犨|篘	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|8|8|6|3|3|2|2|2
chu	亍|储|処|出|初|厨|处|杵|楚|橱|畜|褚|触|锄|除|雏|處|怵|矗|刍|础|滁|黜|楮	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|61|55|51|45|40|33|27|26
